"DENOMINACION","tipo","regimen","localidad","LATITUD","LONGITUD"
"CEIP RAFAEL ALTAMIRA","col·legi d'educació infantil i primària","púb.","CAMPELLO (EL)",38.430236,-0.392965
"CENTRE PRIVAT FUNDACIÓN ANTONIO BONNY","centre privat d'educació infantil i primària","priv.","CAMPELLO (EL)",38.438909,-0.41085
"CENTRE PRIVAT FUNDACIÓN NUESTRA SEÑORA DE LA PIEDAD","centre privat d'educació secundària","priv. conc.","CAMPELLO (EL)",38.415485,-0.399166
"CEIP RICO SAPENA","col·legi d'educació infantil i primària","púb.","CASTALLA",38.591525,-0.670286
"CENTRE PRIVAT MARÍA ASUNTA","centre privat d'educació infantil, primària i secundària","priv. conc.","CASTALLA",38.595096,-0.670284
"CEIP SERRELLA","col·legi d'educació infantil i primària","púb.","CASTELL DE CASTELLS",38.723065,-0.195062
"CEIP AZORÍN","col·legi d'educació infantil i primària","púb.","CATRAL",38.161792,-0.802938
"IES PARE ARQUES","institut d'educació secundària","púb.","COCENTAINA",38.736126,-0.436664
"CEIP BOSCO","col·legi d'educació infantil i primària","púb.","COCENTAINA",38.742996,-0.438423
"CENTRE PRIVAT SAN FRANCISCO DE ASÍS","centre privat d'educació infantil, primària i secundària","priv. conc.","COCENTAINA",38.737281,-0.442951
"CEIP DE CONFRIDES","col·legi d'educació infantil i primària","púb.","CONFRIDES",38.683699,-0.26975
"CEIP VIRGEN DEL CARMEN","col·legi d'educació infantil i primària","púb.","COX",38.142058,-0.891026
"CEIP NUESTRA SEÑORA DE LA ESPERANZA","col·legi d'educació infantil i primària","púb.","CREVILLENT",38.241332,-0.80448
"CEIP ESCOLES NOVES","col·legi d'educació infantil i primària","púb.","CREVILLENT",38.25119,-0.812109
"CEIP FRANCISCO CANDELA","col·legi d'educació infantil i primària","púb.","CREVILLENT",38.252071,-0.801901
"CEIP PUIG JOVER","col·legi d'educació infantil i primària","púb.","ESTACIÓN (LA)",38.224915,-0.77533
"CEIP PÁRROCO FRANCISCO MAS","col·legi d'educació infantil i primària","púb.","CREVILLENT",38.25266,-0.812909
"CENTRE PRIVAT NUESTRA SEÑORA DEL CARMEN","centre privat d'educació infantil, primària i secundària","priv. conc.","CREVILLENT",38.249615,-0.802663
"IES CANÓNIGO MANCHÓN","institut d'educació secundària","púb.","CREVILLENT",38.241572,-0.80285
"IES MACIÀ ABELA","institut d'educació secundària","púb.","CREVILLENT",38.252808,-0.801857
"CEIP SAN LUIS","col·legi d'educació infantil i primària","púb.","REALENGO (EL)",38.203061,-0.812527
"CEIP CARDENAL BELLUGA","col·legi d'educació infantil i primària","púb.","SAN FELIPE NERI",38.178392,-0.79741
"CEIP LA INMACULADA","col·legi d'educació infantil i primària","púb.","DAYA NUEVA",38.112903,-0.759632
"CEIP POU DE LA MUNTANYA","col·legi d'educació infantil i primària","púb.","DÉNIA",38.833181,0.102214
"CEIP CERVANTES","col·legi d'educació infantil i primària","púb.","DÉNIA",38.837921,0.102501
"CENTRE PRIV. ED. INFANTIL BAMBI","centre privat d'educació infantil","priv. conc.","DÉNIA",38.830481,0.083427
"CENTRE PRIVAT SCIENTIA DÉNIA","centre privat d'educació infantil, primària i secundària","priv. conc.","DÉNIA",38.83105,0.117191
"CENTRE PRIVAT SAN JUAN BAUTISTA HH. MARISTAS","centre privat d'educació infantil, primària i secundària","priv. conc.","DÉNIA",38.841446,0.10922
"CENTRE PRIVAT PAIDOS","centre privat d'educació primària i secundària","priv. conc.","DÉNIA",38.829445,0.102235
"IES HISTORIADOR CHABÀS","institut d'educació secundària","púb.","DÉNIA",38.830815,0.099419
"IES MARIA IBARS","institut d'educació secundària","púb.","DÉNIA",38.844554,0.098855
"CEIP LA XARA","col·legi d'educació infantil i primària","púb.","XARA (LA)",38.826949,0.06378
"CEIP PARE PERE","col·legi d'educació infantil i primària","púb.","JESÚS POBRE",38.79932,0.084329
"CEIP SAN FRANCISCO DE ASÍS","col·legi d'educació infantil i primària","púb.","DOLORES",38.137738,-0.766865
"CEIP CARDENAL BELLUGA","col·legi d'educació infantil i primària","púb.","DOLORES",38.141105,-0.77224
"CEIP LA GALIA","col·legi d'educació infantil i primària","púb.","ALTABIX",38.286501,-0.685063
"CEIP RODOLFO TOMÁS SAMPER","col·legi d'educació infantil i primària","púb.","ALTET (EL)",38.274167,-0.5345
"CEIP LA BAIA","col·legi d'educació infantil i primària","púb.","BAYAS (LAS)",38.219234,-0.64204
"CEIP EL TOSCAR","col·legi d'educació infantil i primària","púb.","ELX",38.271417,-0.716257
"CEIP JAIME BALMES","col·legi d'educació infantil i primària","púb.","ELX",38.278087,-0.71174
"CEIP LEÓN FELIPE","col·legi d'educació infantil i primària","púb.","ELX",38.270109,-0.71082
"CEIP EUGENIO D'ORS","col·legi d'educació infantil i primària","púb.","ELX",38.278424,-0.711987
"CEIP FERRÁNDEZ CRUZ","col·legi d'educació infantil i primària","púb.","ELX",38.267719,-0.694212
"CEIP MIGUEL DE UNAMUNO","col·legi d'educació infantil i primària","púb.","ELX",38.262168,-0.702535
"CEIP HISPANIDAD","col·legi d'educació infantil i primària","púb.","ELX",38.262218,-0.69419
"CEIP EL PALMERAL","col·legi d'educació infantil i primària","púb.","ELX",38.262353,-0.687807
"CEIP LUIS VIVES","col·legi d'educació infantil i primària","púb.","ELX",38.254417,-0.704179
"CEIP MENÉNDEZ PELAYO","col·legi d'educació infantil i primària","púb.","ELX",38.277658,-0.708671
"CEIP JAUME I","col·legi d'educació infantil i primària","púb.","ELX",38.274002,-0.71638
"CEIP FRANCISCO GINER DE LOS RÍOS","col·legi d'educació infantil i primària","púb.","ELX",38.272091,-0.706376
"CEIP NÚMERO 38","col·legi d'educació infantil i primària","púb.","ELX",38.276395,-0.703529
"CEIP REYES CATÓLICOS","col·legi d'educació infantil i primària","púb.","ELX",38.258065,-0.696634
"CEIP SAN FERNANDO","col·legi d'educació infantil i primària","púb.","ELX",38.267546,-0.684092
"CEIP MEDITERRANI","col·legi d'educació infantil i primària","púb.","ELX",38.266885,-0.684028
"CEIP DAMA D'ELX","col·legi d'educació infantil i primària","púb.","ELX",38.255133,-0.704412
"CEIP VÍCTOR PRADERA","col·legi d'educació infantil i primària","púb.","ELX",38.272705,-0.685005
"CEIP VIRGEN DE LA ASUNCIÓN","col·legi d'educació infantil i primària","púb.","ELX",38.264985,-0.70797
"CENTRE PRIVAT FUNDACIÓN MEDITERRÁNEO","centre privat d'educació infantil i primària","priv. conc.","ELX",38.27129,-0.713564
"CENTRE PRIVAT ACADEMIA LUIS VIVES","centre privat d'educació infantil i primària","priv. conc.","ELX",38.27231,-0.713768
"CENTRE PRIVAT SAN JOSÉ","centre privat d'educació primària","priv. conc.","ELX",38.274163,-0.70737
"CENTRE PRIVAT NUESTRA SEÑORA DEL CARMEN","centre privat d'educació infantil, primària i secundària","priv. conc.","ALGODA-MATOLA",38.247584,-0.718139
"CENTRE PRIVAT SANTA MARÍA","centre privat d'educació infantil, primària i secundària","priv. conc.","ELX",38.266333,-0.692247
"CENTRE PRIVAT LOPE DE VEGA","centre privat d'educació infantil, primària i secundària","priv. conc.","ELX",38.273436,-0.702501
"CENTRE PRIVAT SAN RAFAEL-SALESIANOS","centre privat d'educació infantil i primària","priv. conc.","ELX",38.262791,-0.691055
"CENTRE PRIVAT SAN JOSÉ DE CALASANZ","centre privat d'educació infantil, primària i secundària","priv. conc.","ELX",38.26353,-0.703167
"IES SIXTO MARCO","institut d'educació secundària","púb.","ELX",38.266964,-0.685737
"IES ASUNCIÓN DE NUESTRA SEÑORA","institut d'educació secundària","púb.","ELX",38.261557,-0.686399
"CENTRE PRIVAT SAN JOSÉ ARTESANO","centre privat d'educació secundària","priv. conc.","ELX",38.251354,-0.712453
"CEIP CANDALIX","col·legi d'educació infantil i primària","púb.","ELX",38.27033,-0.694777
"CEIP ALCUDIA","col·legi d'educació infantil i primària","púb.","ELX",38.258975,-0.710174
"CEIP LUIS CERNUDA","col·legi d'educació infantil i primària","púb.","ELX",38.269643,-0.694856
"CEIP SAN ANTONIO","col·legi d'educació infantil i primària","púb.","FOIA (LA)",38.213877,-0.681925
"CEIP LA MARINA","col·legi d'educació infantil i primària","púb.","MARINA (LA)",38.148134,-0.646155
"CEIP MESTRE CANALETES","col·legi d'educació infantil i primària","púb.","PERLETA (LA)",38.258334,-0.61341
"CEIP ANTONIO MACHADO","col·legi d'educació infantil i primària","púb.","TORRELLANO",38.290577,-0.58627
"CEIP LA VALLVERDA","col·legi d'educació infantil i primària","púb.","VALLVERDA",38.228805,-0.603417
"CEIP PADRE MANJÓN","col·legi d'educació infantil i primària","púb.","ELDA",38.475145,-0.793065
"CENTRO PRIVADO SAGRADA FAMILIA","centre privat d'educació infantil, primària i secundària","priv. conc.","ELDA",38.4622,-0.782808
"CENTRO PRIVADO SANTA MARÍA DEL CARMEN","centre privat d'educació infantil, primària i secundària","priv. conc.","ELDA",38.472532,-0.788194
"IES AZORÍN","institut d'educació secundària","púb.","PETRER",38.47535,-0.773023
"IES LA MELVA","institut d'educació secundària","púb.","ELDA",38.478164,-0.804216
"CEIP JUAN RICO Y AMAT","col·legi d'educació infantil i primària","púb.","ELDA",38.465403,-0.797394
"IES LA TORRETA","institut d'educació secundària","púb.","ELDA",38.466565,-0.791777
"CEIP PUIG CAMPANA","col·legi d'educació infantil i primària","púb.","FINESTRAT",38.568871,-0.212882
"CEIP JUAN CARLOS I","col·legi d'educació infantil i primària","púb.","FORMENTERA DEL SEGURA",38.085286,-0.744797
"CEIP SANTÍSIMO CRISTO","col·legi d'educació infantil i primària","púb.","GATA DE GORGOS",38.770472,0.083717
"CEIP SAN PEDRO APÓSTOL","col·legi d'educació infantil i primària","púb.","GRANJA DE ROCAMORA",38.15312,-0.893972
"CEIP D'EL CASTELL DE GUADALEST","col·legi d'educació infantil i primària","púb.","CASTELL DE GUADALEST (EL)",38.675936,-0.198119
"CEIP MOLIVENT","col·legi d'educació infantil i primària","púb.","GUARDAMAR DEL SEGURA",38.086599,-0.655677
"CEIP REYES CATÓLICOS","col·legi d'educació infantil i primària","púb.","GUARDAMAR DEL SEGURA",38.094098,-0.658375
"CEIP L'OM","col·legi d'educació infantil i primària","púb.","CANALOSA (LA)",38.304705,-0.935479
"CEIP NUESTRA SEÑORA DE LAS NIEVES","col·legi d'educació infantil i primària","púb.","FONDÓ DE LES NEUS (EL)",38.307585,-0.850153
"CEIP VIRGEN DE LA SALUD","col·legi d'educació infantil i primària","púb.","HONDÓN DE LOS FRAILES",38.272731,-0.931166
"CEIP CERVANTES","col·legi d'educació infantil i primària","púb.","IBI",38.625453,-0.57186
"CEIP DERRAMADOR","col·legi d'educació infantil i primària","púb.","IBI",38.619251,-0.585794
"IES FRAY IGNACIO BARRACHINA","institut d'educació secundària","púb.","IBI",38.61791,-0.590848
"CEIP POETA PLA Y BELTRÁN","col·legi d'educació infantil i primària","púb.","IBI",38.617633,-0.574443
"CENTRE PRIVAT NUESTRA SEÑORA DE LOS DESAMPARADOS","centre privat d'educació infantil, primària i secundària","priv. conc.","IBI",38.6247,-0.566987
"CENTRE PRIVAT SAN JUAN Y SAN PABLO","centre privat d'educació infantil, primària i secundària","priv. conc.","IBI",38.6277,-0.573682
"IES LA FOIA","institut d'educació secundària","púb.","IBI",38.618505,-0.590343
"CEIP VIRGEN DE BELÉN","col·legi d'educació infantil i primària","púb.","JACARILLA",38.062343,-0.869156
"CENTRO PRIVADO ESCUELA FAMILIAR AGRARIA EL CAMPICO","centre privat d'educació secundària","priv. conc.","JACARILLA",38.053392,-0.868923
"CEIP SERRA DE BÈRNIA","col·legi d'educació infantil i primària","púb.","XALÓ",38.73534,-0.012099
"CEIP MEDITERRÀNIA","col·legi d'educació infantil i primària","púb.","XÀBIA",38.78633,0.162134
"CENTRE PRIVAT MARÍA INMACULADA","centre privat d'educació infantil, primària i secundària","priv. conc.","XÀBIA",38.791318,0.164033
"IES ANTONI LLIDÓ","institut d'educació secundària","púb.","XÀBIA",38.790825,0.158916
